,experiment,lambda_entropy,n_inp,depth,n_selection_heads,samples,n_iteration,rmse,formula
0,math6,0.001,2,2,2,320,5000,0.37431427945309925,0.966*x_2 + 0.029*sin(x_1) + 0.524
1,math6,0.01,2,2,2,320,5000,0.3650432043389846,0.998*x_2 + 0.012*sin(x_1) + 0.466
2,math6,1.0,2,2,2,320,5000,0.3782369248531952,0.996*x_2 + 0.386
3,math6,0.001,2,2,2,320,10000,0.3588537396803581,1.0*x_2 + 0.49
4,math6,0.01,2,2,2,320,10000,0.36387709589779244,0.995*x_2 + 0.489
5,math6,1.0,2,2,2,320,10000,0.37055077064412933,1.002*x_2 + 0.502
6,math6,0.001,2,2,2,320,50000,0.3621461025276413,1.006*x_2 + 0.488
7,math6,0.01,2,2,2,320,50000,0.36572105669470145,1.001*x_2 + 0.495
8,math6,1.0,2,2,2,320,50000,0.37829598641571843,0.997*x_2 + 0.497*cos(0.059*x_2)
9,math6,0.001,2,2,2,3200,5000,0.3683038866928077,1.06*x_2 + 0.451
10,math6,0.01,2,2,2,3200,5000,0.36649748560699863,0.963*x_2 - 0.039*cos(x_1) + 0.409
11,math6,1.0,2,2,2,3200,5000,0.37167703012555037,1.008*x_2 + 0.495
12,math6,0.001,2,2,2,3200,10000,0.39191332562716025,-0.004*x_1 + 0.999*x_2 + 0.502
13,math6,0.01,2,2,2,3200,10000,0.358651155190369,0.992*x_2 + 0.497
14,math6,1.0,2,2,2,3200,10000,0.3681487816001908,1.004*x_2 + 0.5
15,math6,0.001,2,2,2,3200,50000,0.3839080714383288,-0.007*x_1 + 0.993*x_2 + 0.063*sin(0.044*x_1 + 0.044*x_2) + 0.448*cos(0.044*x_1 + 0.044*x_2) + 0.048
16,math6,0.01,2,2,2,3200,50000,0.3636866359433705,1.002*x_2 + 0.498
17,math6,1.0,2,2,2,3200,50000,0.35543846483568914,0.998*x_2 + 0.494
18,math6,0.001,2,4,2,320,5000,0.36391059083893473,0.996*x_2 + 0.482*cos(0.041*x_2)
19,math6,0.01,2,4,2,320,5000,0.27311818907924473,0.013*x_1**2 + 0.001*x_1*x_2 + 1.013*x_2 + 0.016*sin(x_2) + 0.011*sin(0.24*x_1*x_2) - 0.037*sin(0.021*x_1**2 - 0.042*x_2) + 0.011*cos(x_1) - 0.026*cos(x_2) + 0.035*cos(0.24*x_1*x_2) + 0.414*cos(0.021*x_1**2 - 0.042*x_2)
20,math6,1.0,2,4,2,320,5000,0.3533911123512527,0.976*x_2 + 0.421
21,math6,0.001,2,4,2,320,10000,0.36367920867824616,1.001*x_2 + 0.504
22,math6,0.01,2,4,2,320,10000,0.3583731142044778,1.001*x_2 + 0.497
23,math6,1.0,2,4,2,320,10000,0.35544858937139245,0.996*x_2 + 0.005*cos(x_2) + 0.438
24,math6,0.001,2,4,2,320,50000,0.3666954248580563,0.997*x_2 + 0.498
25,math6,0.01,2,4,2,320,50000,0.3626278373115088,1.0*x_2 + 0.497
26,math6,1.0,2,4,2,320,50000,0.37988109355160327,-0.002*x_1 + 1.0*x_2 + 0.48
27,math6,0.001,2,4,2,3200,5000,0.3619327743233777,0.988*x_2 + 0.47*cos(0.045*x_2)
28,math6,0.01,2,4,2,3200,5000,0.3668179200293622,0.015*x_1 + 1.005*x_2 + 0.334*cos(0.04*x_2)
29,math6,1.0,2,4,2,3200,5000,0.364693860292147,1.0*x_2 + 0.453*cos(0.132*x_2)
30,math6,0.001,2,4,2,3200,10000,0.36290300929625624,1.0*x_2 + 0.495
31,math6,0.01,2,4,2,3200,10000,0.35928780407053335,0.997*x_2 + 0.497
32,math6,1.0,2,4,2,3200,10000,0.37457594144474693,1.011*x_2
33,math6,0.001,2,4,2,3200,50000,0.3662146102020284,0.998*x_2 + 0.497
34,math6,0.01,2,4,2,3200,50000,0.37143268271289526,1.002*x_2 + 0.493
