,experiment,lambda_entropy,n_inp,depth,n_selection_heads,samples,n_iteration,rmse,formula
0,math6,0.001,2,2,2,32000,100000,0.39609833102370295,-0.003*x_1 + 0.997*x_2 + 0.019*sin(0.098*x_1) + 0.439*cos(0.098*x_1) + 0.059
1,math6,0.01,2,2,2,32000,100000,0.37599399232340747,0.996*x_2 + 0.496
2,math6,1.0,2,2,2,32000,100000,0.37035780467188223,1.001*x_2 + 0.488
3,math6,0.001,2,4,2,32000,100000,0.36601578825764514,0.997*x_2 + 0.492*cos(0.042*x_2)
4,math6,0.01,2,4,2,32000,100000,0.3811742855684053,1.001*x_2 + 0.497*cos(0.019*x_2)
5,math6,1.0,2,4,2,32000,100000,0.3574431264895009,1.001*x_2 + 0.492
